SG_UF_NOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chi-squared test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var,chi2,p,dof,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG_UF_NOT,103934.395,0,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observed quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.000698757,0.009454044,0.003331822,0.001258688,0.002859814,0.0003193,0.013975141,0.00352155,0.007302243,0.01502559,0.00534017,0.012138011,0.030842488,0.030078946,0.006344344,0.023174671,0.240099399,0.041661654,0.025303335,0.263116734,0.046057807,0.002785773,0.00121704,0.107085674,0.01039806,0.083443623,0.013165323,,,,
12,0.00130169,0.006074555,0.004055992,0.001169635,0.003207063,0.000264111,0.006715967,0.003659825,0.005074706,0.017355871,0.00482946,0.006942348,0.007772412,0.006848023,0.004452158,0.019412164,0.191461666,0.041031542,0.009941896,0.457572442,0.066008904,0.004206912,0.002433595,0.03433444,0.007791277,0.067536976,0.018544371,,,,
table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expected frequencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
binary_pred,11,12,13,14,15,16,17,21,22,23,24,25,26,27,28,29,31,32,33,35,41,42,43,50,51,52,53,,,,
0,126.4162929,1066.637471,437.5096586,246.7775998,456.8560773,59.07303407,1311.864404,379.1750375,569.4640485,1783.710264,710.5747586,1038.208574,2415.348681,1547.270445,627.134098,2898.123052,26622.37042,4611.314881,2737.813605,39597.09779,6780.772057,407.3824112,275.2064975,5126.727103,1151.11191,8089.68281,2265.377015,,,,
1,32.9182722,277.7479217,113.9256792,64.25985146,118.9634054,15.38237019,341.6039859,98.73558864,148.2860486,464.4706678,185.0306854,270.345156,628.946661,402.9027311,163.3030875,754.6590814,6932.353544,1200.767045,712.9151743,10310.9181,1765.68459,106.0806704,71.66261711,1334.978225,299.7447111,2106.519457,589.8946687,,,,
2,157.1249932,1325.74213,543.7883087,306.7241397,567.8343065,73.422894,1630.538918,471.2832009,707.7966982,2217.004284,883.1856362,1290.407362,3002.078578,1923.129151,779.4757984,3602.12718,33089.40386,5731.482884,3402.875801,49215.91652,8427.938666,506.3426327,342.0589074,6372.097634,1430.736868,10054.80644,2815.676206,,,,
3,124.5602971,1050.977507,431.0863086,243.1545052,450.1486905,58.2057463,1292.604111,373.6081341,561.1033944,1757.52251,700.1423708,1022.965991,2379.887452,1524.55401,617.9267542,2855.573914,26231.51093,4543.613314,2697.61807,39015.74829,6681.219347,401.4013779,271.1660206,5051.45845,1134.211724,7970.91317,2232.117614,,,,
4,136.8618464,1154.771829,473.6603036,267.168394,494.6052824,63.95413382,1420.261427,410.5055965,616.51785,1931.095071,769.2882872,1123.993902,2614.924647,1675.11865,678.9530732,3137.589805,28822.12955,4992.339629,2964.034275,42868.93556,7341.055193,441.0436954,297.9463209,5550.339446,1246.22624,8758.118913,2452.561089,,,,
5,34.9884214,295.2148055,121.090185,68.3009955,126.4447215,16.34972962,363.0866206,104.944827,157.6113936,493.680086,196.6668102,287.3464981,668.49957,428.2402932,173.5728171,802.1177354,7368.312213,1276.280332,757.7486566,10959.34639,1876.724152,112.7518229,76.16930289,1418.931723,318.5949189,2238.993286,626.9916939,,,,
6,95.48897778,805.68825,330.474412,186.4043013,345.0877953,44.62101766,990.9212496,286.4111571,430.1466102,1347.331628,536.7350661,784.2143853,1824.441859,1168.736005,473.7078787,2189.107126,20109.29825,3483.172414,2068.01684,29909.80279,5121.879288,307.717693,207.878166,3872.490794,869.4963053,6110.569487,1711.160251,,,,
7,503.9485986,4252.066301,1744.097808,983.7594723,1821.220782,235.4899993,5229.644161,1511.551433,2270.123594,7110.62053,2832.65033,4138.736739,9628.597348,6168.071808,2500.020706,11553.13937,106127.9836,18382.64371,10914.07838,157850.7127,27031.01394,1623.997908,1097.089034,20437.29396,4588.817,32248.8836,9030.747113,,,,
8,81.43850935,687.1374226,281.8476448,158.9763424,294.3107812,38.0553782,845.1148114,244.2679588,366.8538459,1149.082145,457.7586305,668.8232719,1555.989276,996.7654935,404.0054088,1866.996855,17150.36972,2970.650392,1763.724072,25508.80542,4368.234156,262.4394019,177.2904932,3302.683566,741.5566135,5211.446198,1459.376185,,,,
9,71.49487784,603.2380318,247.4340837,139.5653515,258.3754727,33.40882142,741.9264017,214.4428725,322.0610385,1008.779363,401.8663607,587.1600365,1366.003186,875.0605551,354.6764004,1639.036779,15056.31179,2607.934361,1548.37359,22394.18357,3834.873328,230.3955847,155.6433468,2899.426328,651.0126464,4575.129289,1281.18654,,,,
10,46.6028953,393.2119291,161.2863053,90.97364258,168.4182904,21.77705388,483.613924,139.7814646,209.9307994,657.5581419,261.9507369,382.7317219,890.4092905,570.3954837,231.1906483,1068.382263,9814.237651,1699.944047,1009.284783,14597.32254,2499.706351,150.1800078,101.4538498,1889.948842,424.3531162,2982.231422,835.122795,,,,
11,241.0318431,2033.706176,834.1785458,470.5189367,871.0654284,112.6317024,2501.268531,722.9547397,1085.769611,3400.914254,1354.81859,1979.50217,4605.228732,2950.105865,1195.726311,5525.711319,50759.58853,8792.171478,5220.057037,75497.87485,12928.57075,776.7363776,524.7229435,9774.883082,2194.769511,15424.20769,4319.284997,,,,
12,59.12417486,498.8602254,204.6207571,115.4164675,213.6689661,27.6281191,613.5514548,177.3379894,266.3350681,834.2310561,332.3317376,485.5641931,1129.64472,723.6495094,293.3070193,1355.435523,12451.1299,2156.685512,1280.459715,18519.33544,3171.328186,190.5304163,128.7124998,2397.740851,538.3684357,3783.498234,1059.503832,,,,
